#,A,+,B,->,C,0.1,D,Al-B-Be-C-Cl-F-H-N-O-P-S-Si,RE (kcal mol-1),CCSD(T) error,ACCSD(T) error,MBPT(2) error,B2PLYP error,B2GPPLYP error,B2IPPLYP error,PWPB95 error,CAM-B3LYP error,wB97X error,CAM-QTP01,M06-2X error,M06 error,TPSSh error,O3LYP error,PW6B95 error,B3LYP error,PBE0 error,TPSS error,OLYP error,BLYP error,BP86 error,PBE error
28,xxxx,+,propene,->,ch4,+,c2h2,H6-C3,35.633,-0.071687236,-0.051804047,1.039922286,1.253177135,0.285729182,1.045555639,-0.416191833,1.755745569,4.012539321,-5.383748977,1.402720858,-0.126111435,1.992732777,5.220095642,1.493996812,-0.80196065,5.89419706,0.894894063,-2.03947546,-3.986880951,1.385717586,3.576766495
29,xxxx,+,propene,->,ch2-sing,+,c2h4,H6-C3,116.027,0.909635901,0.910210191,-7.188107969,-1.374951422,-2.635856324,-2.438189542,-2.468390866,2.167420501,3.28405905,-6.559872908,3.125758651,-1.117481821,2.005831625,9.659503776,3.356800225,-1.147408351,7.593491768,1.509797024,-0.194806805,-3.0454861,4.301746581,7.77970056
30,xxxx,+,nh3,->,h2,+,nh,H3-N1,105.429,2.044399239,2.06068033,-4.157604204,0.549153722,0.114095482,-0.450604955,-0.01612437,-2.160808261,-0.789303473,-1.27312051,-1.660366193,-2.714033716,-10.44822089,4.4166162,-2.391626257,-4.878472575,-1.517191201,-10.33414917,-4.840208755,-4.451338397,-1.402380903,1.673786656
31,xxxx,+,ethanol,->,h2,+,acetaldehyde,H6-C2-O1,23.884,0.132985343,0.097365468,-0.340015334,1.668272754,0.242400263,1.160264842,1.017659624,-0.798941955,0.477006201,-3.324722251,0.362292465,-2.105286665,-4.298120794,-0.200280783,-2.235445727,-4.320722367,1.161539012,-6.352968308,-8.797665443,-8.829352906,-4.63392965,-3.063109209
32,xxxx,+,ethanol,->,h2,+,oxirane,H6-C2-O1,50.222,-0.059547724,-0.136740209,0.512569084,0.566248742,-0.437742864,0.342592219,2.662017238,-0.182919672,-0.62668461,-2.737730705,-3.109153007,-3.82918099,-7.719505463,-2.507547348,-4.112746119,-2.633268959,-1.004064432,-9.758557054,-9.739948462,-6.280532356,-5.507985166,-4.600353824
33,xxxx,+,ethanol,->,ch2-trip,+,methanol,H6-C2-O1,106.995,1.09951658,1.167869575,-1.962856044,1.478641642,0.830495769,0.631158155,-0.659634825,-1.266998891,0.942924994,-2.458598911,-1.472375214,-1.508535497,-7.574084297,3.311884939,-0.346251621,-4.067232145,-1.436377579,-7.62361373,-5.582169551,-4.576387556,-2.802863946,0.3427024
34,xxxx,+,ethanol,->,ch4,+,h2co,H6-C2-O1,16.163,0.424244423,0.426586239,-0.782205529,2.310721562,0.776032519,1.649007891,1.230462245,-1.229068885,0.347113444,-3.516791922,1.484037273,-2.538648617,-4.248753982,0.815273698,-2.269477848,-5.128490297,1.582847478,-5.932778522,-8.648011155,-9.296811122,-3.899608773,-1.824478761
35,xxxx,+,ethanol,->,ch4,+,t-hcoh,H6-C2-O1,68.344,0.814530239,0.800306163,-4.410062699,0.848225956,-0.795218041,-0.139340023,0.260488146,-0.833443739,0.567995088,-3.37150028,0.850047456,-2.700057414,-2.299408472,2.829500433,-0.97779558,-4.095060836,2.960757681,-3.695729486,-6.600587689,-7.754517978,-2.337384454,0.354959066
36,xxxx,+,ethanol,->,ch4,+,c-hcoh,H6-C2-O1,73.174,0.957585192,0.928991726,-4.575343968,0.834737781,-0.912721133,-0.190432572,0.247309541,-0.370699084,1.140582479,-4.0686253,1.181609232,-2.690612285,-2.218274735,2.906132728,-0.78786035,-3.97541834,3.190631633,-3.801541506,-7.045402717,-8.045112246,-2.515211635,0.142527222
37,xxxx,+,ethanol,->,ch2-sing,+,methanol,H6-C2-O1,116.284,0.740718324,0.732247702,-6.970449647,-1.083587414,-2.388362119,-2.163323852,-2.09543869,2.16913692,3.149908811,-6.759393092,2.909811044,-1.627244761,1.41616483,9.046399662,2.93499336,-1.433552534,7.026064985,0.861104073,-0.993107264,-3.435445455,3.593607959,7.07744962
38,xxxx,+,ethanol,->,c2h4,+,h2o,H6-C2-O1,14.172,-0.538493148,-0.648267091,-1.574490836,0.395701063,-0.65649179,-0.002406166,-0.944691095,3.626189191,5.695745927,-7.622247008,4.436505089,4.644510084,3.878923051,4.918426825,2.526838892,0.082953695,5.571634999,3.063072161,-2.167749542,-2.778707599,1.458497285,3.476224216
39,xxxx,+,ch3nh,->,h2,+,h2cn,H4-C1-N1,21.387,0.092882071,-0.066600334,-2.06862985,-0.524064657,-2.091829347,-1.136352021,-0.826470556,1.502091682,3.46003472,-5.059918595,1.438091138,1.340995878,-0.575294656,3.170311674,0.189596393,-1.36500366,4.557073144,-2.383555012,-4.120414347,-5.383327757,-0.857674504,0.883240377
40,xxxx,+,ch3nh,->,h2,+,hcnh,H4-C1-N1,28.887,-0.268356283,-0.409169435,1.351616213,0.617088504,-0.817365523,0.52077941,-0.255584616,2.262404942,4.75829724,-5.925852283,1.361785847,2.267489488,0.516096933,1.405843203,0.552907745,-0.858083959,4.89353846,-1.894827222,-5.447536355,-6.220129785,-2.23238735,-0.756467881
41,xxxx,+,ch3nh,->,ch2-trip,+,nh2,H4-C1-N1,101.293,1.301948026,1.369545441,-0.614824707,0.324732019,0.268849965,-0.133222293,-2.190729297,1.106531322,3.072318005,-4.211211205,0.248493205,0.773118603,-3.670159658,6.498762131,2.476107116,-1.038488969,0.747650838,-3.097062979,-1.500494742,-0.387068086,0.943460932,3.851289041
42,xxxx,+,ch3nh,->,ch3,+,nh,H4-C1-N1,83.663,1.781932426,1.856014478,-1.356723812,0.704723116,0.776700295,0.103928983,-1.517225316,-0.163422446,1.831376966,-2.927292897,1.04787018,0.302864293,-4.890048727,6.699487995,1.113313266,-2.286636324,0.693650851,-3.918902107,-1.549255491,-0.725916599,1.932637165,5.176186638
43,xxxx,+,ch3nh,->,ch2-sing,+,nh2,H4-C1-N1,110.582,0.94314977,0.933923568,-5.62241831,-2.237497038,-2.950007923,-2.9277043,-3.626533162,4.542667133,5.279301821,-8.512005386,4.630679464,0.654409339,5.320089469,12.23327685,5.757352096,1.595190642,9.210093402,5.387654824,3.088567545,0.753874015,7.339932838,10.58603626
44,xxxx,+,ch3nh,->,ch,+,nh3,H4-C1-N1,92.39,1.031389435,1.061578861,-2.158887608,-1.606299397,-2.038462961,-1.919680428,-2.619663806,4.578204751,5.495598872,-7.813971544,3.525283419,3.677431252,5.870166117,10.33528656,5.18777636,2.370682457,9.046465325,5.850056402,2.51775949,1.403756478,6.856345695,9.866443699
45,xxxx,+,c2h4,->,h2,+,ch2c,H4-C2,94.668,0.469169697,0.429035243,-5.215426815,-0.840642235,-2.207274559,-1.678728111,-0.92707541,0.877507489,1.798285304,-4.271957917,0.111927528,-2.607832617,0.169343719,5.14927187,0.588853035,-1.706514665,4.709774588,-1.042232407,-3.112177677,-4.815963649,0.077523237,2.602384987
46,xxxx,+,c2h4,->,h2,+,c2h2,H4-C2,49.077,-0.260075989,-0.311021946,1.881211784,0.197591789,-0.563357202,0.252620779,-0.86399209,3.034527694,4.710044248,-6.117612844,0.426940444,0.42539916,2.253714575,5.156909724,2.070469937,0.771680218,6.087838469,0.796416202,-1.273960697,-2.685919876,1.337556467,3.06998101
47,xxxx,+,c2h4,->,ch2-trip,+,ch2-sing,H4-C2,191.894,2.051735809,2.200655595,-6.350727506,-1.346484409,-1.734659331,-2.45940839,-3.456981913,0.609366576,0.845451622,-4.134481531,-0.381197553,-4.542129537,-4.206806474,9.807806769,3.325230403,-1.633903318,2.316370175,-3.389050721,-0.620057324,-0.532334732,2.826291126,6.823854584
48,xxxx,+,c2h4,->,ch3,+,ch,H4-C2,172.004,2.247611847,2.422268556,-5.724624356,0.832603897,0.202313249,-0.514900743,-1.735442599,-2.348878494,-0.665220064,-1.229177112,0.988683557,-2.354538913,-5.939644407,8.483662305,1.418859059,-4.472727175,0.613521807,-5.09039152,-1.975550396,-3.589392299,0.933911975,5.144342039
49,xxxx,+,methanol,->,h2,+,h2co,H4-C1-O1,29.35,0.404773246,0.345330828,-0.158574354,0.963772208,-0.32054807,0.581207341,0.409709812,0.047996821,1.17876861,-4.051135605,0.724204466,-1.477375081,-3.39810539,1.365191894,-1.271197859,-3.268705246,2.34391567,-5.382563432,-7.084195934,-7.605890692,-3.23963127,-1.629013308
50,xxxx,+,methanol,->,h2,+,t-hcoh,H4-C1-O1,81.531,0.795059062,0.719050752,-3.786431523,-0.498723398,-1.891798631,-1.207140574,-0.560264287,0.443621968,1.399650253,-3.905843964,0.09021465,-1.638783878,-1.448759881,3.379418629,0.020484409,-2.235275786,3.721825873,-3.145514396,-5.036772468,-6.063597549,-1.677406951,0.550424519
51,xxxx,+,methanol,->,h2,+,c-hcoh,H4-C1-O1,86.361,0.938114014,0.847736315,-3.951712792,-0.512211573,-2.009301723,-1.258233123,-0.573442891,0.906366622,1.972237644,-4.602968983,0.421776426,-1.62933875,-1.367626143,3.456050924,0.21041964,-2.115633289,3.951699826,-3.251326415,-5.481587496,-6.354191816,-1.855234132,0.337992676
52,xxxx,+,methanol,->,ch2-trip,+,h2o,H4-C1-O1,89.782,0.772524336,0.820140801,-0.954768695,0.132804068,-0.002789001,-0.298490705,-2.306234318,2.066418847,3.391288739,-4.997335447,1.145496492,1.729625309,-1.744048253,5.679833932,2.917075935,-0.117397089,0.861940189,-1.187082632,-1.794699602,0.124403124,0.691180452,3.222629179
53,xxxx,+,methanol,->,ch3,+,oh,H4-C1-O1,98.423,1.218921291,1.267904634,-5.143707803,2.178755523,1.621432264,0.948644179,-0.446611937,-2.763587695,-0.750024033,-0.81800026,1.478554372,-0.046912301,-5.960492293,5.823241178,-0.671958345,-5.512683548,-2.644522953,-4.769912073,-2.984026464,-4.328415303,-1.047450802,1.766187815
54,xxxx,+,methanol,->,ch2-sing,+,h2o,H4-C1-O1,99.071,0.413726081,0.384518929,-5.962362298,-2.429424988,-3.22164689,-3.092972712,-3.742038183,5.502554658,5.598272555,-9.298129628,5.52768275,1.610916045,7.246200874,11.41434866,6.198320916,2.516282522,9.324382753,7.29763517,2.794362685,1.265345225,7.087652357,9.9573764
55,xxxx,+,ch2nh2,->,h2,+,h2cn,H4-C1-N1,29.034,0.790398615,0.649667048,-4.295215783,-1.009626179,-2.648707127,-1.936610353,-0.888873836,1.460091664,2.744146665,-5.606695698,1.374847426,-0.460889517,-2.771816934,4.826174819,-0.219654411,-2.036743268,4.243898033,-4.38748582,-4.156319358,-5.584673082,-0.383466629,1.637128388
56,xxxx,+,ch2nh2,->,h2,+,hcnh,H4-C1-N1,36.534,0.429160261,0.307097947,-0.87496972,0.131526982,-1.374243303,-0.279478922,-0.317987896,2.220404924,4.042409186,-6.472629386,1.298542135,0.465604092,-1.680425344,3.061706348,0.143656941,-1.529823568,4.58036335,-3.89875803,-5.483441366,-6.421475111,-1.758179476,-0.00257987
57,xxxx,+,ch2nh2,->,ch2-trip,+,nh2,H4-C1-N1,108.94,1.99946457,2.085812822,-2.841410641,-0.160829504,-0.288027814,-0.933480624,-2.253132576,1.064531304,2.35642995,-4.757988309,0.185249493,-1.028766792,-5.866681935,8.154625276,2.066856312,-1.710228578,0.434475727,-5.100993786,-1.536399753,-0.588413412,1.417668807,4.605177052
58,xxxx,+,ch2nh2,->,ch3,+,nh,H4-C1-N1,91.31,2.47944897,2.57228186,-3.583309745,0.219161594,0.219822516,-0.696329349,-1.579628596,-0.205422464,1.115488911,-3.47407,0.984626468,-1.499021103,-7.086571004,8.35535114,0.704062462,-2.958375933,0.380475741,-5.922832915,-1.585160502,-0.927261925,2.40684504,5.930074649
59,xxxx,+,ch2nh2,->,ch2-sing,+,nh2,H4-C1-N1,118.229,1.640666314,1.65019095,-7.849004243,-2.72305856,-3.506885702,-3.727962631,-3.688936442,4.500667115,4.563413767,-9.058782489,4.567435751,-1.147476056,3.123567191,13.88914,5.348101292,0.923451033,8.896918291,3.383724017,3.052662534,0.55252869,7.814140713,11.33992427
60,xxxx,+,ch2nh2,->,ch,+,nh3,H4-C1-N1,100.037,1.728905979,1.777846243,-4.385473541,-2.091860919,-2.595340741,-2.719938759,-2.682067085,4.536204733,4.779710817,-8.360748647,3.462039707,1.875545857,3.673643839,11.99114971,4.778525557,1.698942848,8.733290214,3.846125594,2.481854479,1.202411153,7.33055357,10.62033171
61,xxxx,+,bhf2,->,bh,+,f2,F2-B1-H1,286.936,1.258969565,0.739559507,-13.68751638,-5.543168736,-9.273850036,-7.072300009,-2.953040272,6.534767147,2.638437969,-13.57330459,8.03535786,8.283893206,-3.951315085,6.603539247,4.824967694,-0.007794205,5.192197392,-7.782577912,-9.549193912,-9.022824096,-5.643176353,-3.172708468
62,xxxx,+,bhf2,->,hf,+,bf,F2-B1-H1,86.816,0.54165939,0.454840333,-3.912782754,-3.049697909,-3.9262829,-3.327489976,-2.321541115,6.793567335,5.072573398,-9.620047226,5.325789278,4.352229436,7.509324528,6.63486023,5.12592616,4.261683789,6.380664402,7.279450829,-0.870725139,2.002240373,3.260176892,5.01596861
63,xxxx,+,ch2ch,->,h2,+,cch,H3-C2,70.425,-0.002752846,-0.114926228,0.959362095,-2.684204695,-3.598644436,-2.782129331,-3.210196272,6.036676348,6.99322597,-9.163474395,0.175686115,0.75790782,4.437286859,7.467550786,4.473323625,3.688806625,8.209464618,3.061250921,0.400181584,0.447299124,3.941986705,5.633898832
64,xxxx,+,ch2ch,->,ch2-trip,+,ch,H3-C2,171.115,2.760125827,2.963424753,-3.654295702,-0.405983013,-0.132172147,-1.141645814,-1.997748075,-0.029302876,0.485367621,-3.129070277,-0.707397825,-0.80836469,-5.524553037,10.10807171,2.259727693,-1.801873311,2.101803415,-4.44292628,0.109030883,0.239411413,3.655242981,7.772911027
65,xxxx,+,ch2ch,->,ch2-sing,+,ch,H3-C2,180.404,2.401327571,2.52780288,-8.661889305,-2.968212069,-3.351030035,-3.936127821,-3.433551941,3.406832935,2.692351437,-7.429864458,3.674788433,-0.927073954,3.46569609,15.84258644,5.540972674,0.8318063,10.56424598,4.041791523,4.69809317,1.380353514,10.05171489,14.50765825
66,xxxx,+,propyne,->,ch2-trip,+,ch2c,H4-C3,154.926,1.967533795,2.038693531,-9.420501375,-0.678878294,-1.791580066,-2.292081497,-1.95797457,-2.190610995,-0.821635008,-1.345431461,-0.606157347,-2.491952955,-7.306394898,5.611990154,0.04928932,-4.669665427,-0.703069446,-6.993593755,-4.559577993,-4.6307046,-1.655616375,2.180786262
67,xxxx,+,propyne,->,ch2-trip,+,c2h2,H4-C3,109.335,1.238288109,1.298636341,-2.323862777,0.35935573,-0.147662708,-0.360732608,-1.89489125,-0.03359079,2.090123936,-3.191086387,-0.29114443,0.541278822,-5.222024043,5.619628008,1.530906221,-2.191470544,0.674994435,-5.154945147,-2.721361014,-2.500660827,-0.395583145,2.648382285
68,xxxx,+,propyne,->,ch3,+,cch,H4-C3,131.572,0.983097272,0.953575862,-5.316041119,-1.283853844,-2.848464546,-2.768737647,-3.978789956,0.648982246,3.222717973,-4.337054774,1.153682622,-0.67238674,-3.453543128,6.305859662,3.092891275,-1.945198002,1.308338975,-3.537575667,-3.131800011,-3.196245538,-0.512483912,2.583731119
69,xxxx,+,propyne,->,ch4,+,c2,H4-C3,138.162,1.864558655,0.364985957,-2.429272467,-12.4751757,-14.84582789,-11.21489806,-15.03102155,33.84693461,35.80959651,-43.37765147,29.70327385,21.80291156,21.24924799,27.25604548,26.28895841,23.56350541,31.30567725,16.09169892,11.39487897,11.5171982,16.53730098,18.75762013
70,xxxx,+,propyne,->,ch2-sing,+,ch2c,H4-C3,164.215,1.608735539,1.603071658,-14.42809498,-3.241107351,-5.010437954,-5.086563504,-3.393778436,1.245524816,1.385348808,-5.646225641,3.776028912,-2.610662219,1.683854229,11.34650488,3.3305343,-2.035985816,7.759373118,1.491124047,0.029484294,-3.489762499,4.740855531,8.915533483
71,xxxx,+,propyne,->,ch2-sing,+,c2h2,H4-C3,118.624,0.879489853,0.863014468,-7.33145638,-2.202873327,-3.366520597,-3.155214614,-3.330695116,3.402545021,4.297107753,-7.491880568,4.091041828,0.422569558,3.768225084,11.35414273,4.812151202,0.442209067,9.137436999,3.329772656,1.867701274,-1.359718726,6.000888761,9.383129505
72,xxxx,+,propyne,->,ch,+,ch2ch,H4-C3,175.303,2.279706366,2.334746803,-11.23517121,-0.36151794,-1.950887885,-2.460822681,-1.887156543,-2.806875166,-0.895589563,-1.333379536,1.795043554,-0.769761318,-7.57883603,6.890723645,0.302404488,-5.855158421,-0.06550237,-7.164017252,-4.305175369,-5.965209982,-0.933142989,3.313876004
73,xxxx,+,acetaldehyde,->,h2,+,ketene,H4-C2-O1,34.909,-0.144622704,-0.218877464,1.057810955,2.302198401,0.9841414,1.932462512,1.810635246,-0.474180003,1.577055176,-3.315538366,-1.910434267,-3.728239238,-3.428674913,-1.305553153,-2.747994289,-3.968095726,0.553945392,-5.337951896,-7.962389045,-8.227250918,-5.214415797,-3.625104377
